fromLib,toLib,type
io.reactivex:rxjava,io.reactivex.rxjava2:rxjava,rename:upgrade
io.reactivex:rxjava,org.reactivestreams:reactive-streams,undecided
io.rest-assured:rest-assured,com.jayway.restassured:rest-assured,rename:downgrade
io.rest-assured:rest-assured,org.springframework.boot:spring-boot-test,undecided
io.rest-assured:rest-assured,org.springframework.boot:spring-boot-test-autoconfigure,undecided
io.rest-assured:rest-assured,org.springframework:spring-test,undecided
io.springfox:springfox-swagger-ui,com.github.xiaoymin:swagger-bootstrap-ui,undecided
io.swagger:swagger-annotations,io.swagger.core.v3:swagger-annotations,rename:upgrade
io.undertow:undertow-core,org.glassfish.jersey.containers:jersey-container-grizzly2-http,undecided
io.vertx:vertx-core,io.netty:netty-all,undecided
it.unimi.dsi:fastutil,fastutil:fastutil,rename:downgrade
jasperreports:jasperreports,net.sf.jasperreports:jasperreports,rename:upgrade
javassist:javassist,asm:asm-all,undecided
javassist:javassist,org.javassist:javassist,rename:undecided
javax.activation:activation,org.apache.geronimo.specs:geronimo-activation_1.1_spec,undecided
javax.annotation:jsr250-api,org.apache.geronimo.specs:geronimo-annotation_1.0_spec,undecided
javax.annotation:jsr250-api,org.jboss.spec.javax.annotation:jboss-annotations-api_1.1_spec,undecided
javax.annotation:jsr250-api,org.jboss.spec.javax.annotation:jboss-annotations-api_1.2_spec,undecided
javax.cache:cache-api,org.springframework.boot:spring-boot-starter-cache,undecided
javax.el:el-api,org.apache.tomcat:tomcat-el-api,undecided
